state,date,inpatient_beds_used_covid
VI,2022/02/04,20
VI,2022/02/03,21
VI,2022/02/02,21
VI,2022/02/01,20
AS,2022/01/31,0
VI,2022/01/30,25
AS,2022/01/28,0
VI,2022/01/27,24
VI,2022/01/26,24
VI,2022/01/25,25
AS,2022/01/24,0
VI,2022/01/24,23
AS,2022/01/23,0
VI,2022/01/22,29
VI,2022/01/21,32
VI,2022/01/19,25
AS,2022/01/18,0
VI,2022/01/18,26
VI,2022/01/17,25
VI,2022/01/14,18
VI,2022/01/13,18
AS,2022/01/10,0
AS,2022/01/09,0
AS,2022/01/08,0
VT,2022/01/06,105
AS,2022/01/05,0
AS,2022/01/02,0
SD,2022/01/01,222
AR,2021/12/24,531
MT,2021/12/21,128
NH,2021/12/20,458
PR,2021/12/20,53
HI,2021/12/13,50
PR,2021/12/13,36
MT,2021/12/12,160
AS,2021/12/11,0
DC,2021/12/02,98
HI,2021/11/26,54
ID,2021/11/25,317
NM,2021/11/25,665
RI,2021/11/24,123
PR,2021/11/23,52
DC,2021/11/20,85
RI,2021/11/19,105
RI,2021/11/18,100
HI,2021/11/15,62
RI,2021/11/14,99
NH,2021/11/13,262
ID,2021/11/11,358
DE,2021/11/10,161
RI,2021/11/08,100
ID,2021/11/05,440
ND,2021/11/05,269
ME,2021/11/01,224
NH,2021/11/01,197
HI,2021/10/30,91
CT,2021/10/25,246
MS,2021/10/25,328
PR,2021/10/23,79
ME,2021/10/20,215
HI,2021/10/19,102
MS,2021/10/19,380
PR,2021/10/18,106
ID,2021/10/14,600
RI,2021/10/13,94
NM,2021/10/10,342
DC,2021/10/09,123
NH,2021/10/08,133
OK,2021/10/05,987
PR,2021/10/04,136
MA,2021/09/29,493
NM,2021/09/22,371
NH,2021/09/20,137
ND,2021/09/19,218
MA,2021/09/15,625
MT,2021/09/14,404
NM,2021/09/04,460
MA,2021/09/01,490
NH,2021/08/31,113
NH,2021/08/30,122
OR,2021/08/30,1244
NH,2021/08/29,111
NH,2021/08/28,101
MA,2021/08/25,490
NH,2021/08/25,110
RI,2021/08/24,127
NM,2021/08/23,464
RI,2021/08/22,114
DE,2021/08/21,196
WY,2021/08/21,141
MA,2021/08/18,395
MT,2021/08/18,214
RI,2021/08/17,115
AK,2021/08/15,130
VT,2021/08/14,27
HI,2021/08/13,299
NV,2021/08/13,1302
PR,2021/08/10,327
SD,2021/08/09,65
AK,2021/08/06,101
ME,2021/08/06,63
DE,2021/08/05,107
MA,2021/08/04,246
NE,2021/08/04,184
WV,2021/08/04,255
IA,2021/08/03,274
RI,2021/08/03,42
DE,2021/08/02,56
CT,2021/08/01,190
RI,2021/07/31,33
RI,2021/07/29,35
RI,2021/07/28,38
RI,2021/07/27,33
MT,2021/07/25,84
OR,2021/07/25,272
TN,2021/07/24,734
CT,2021/07/18,88
NH,2021/07/15,28
NE,2021/07/11,90
TN,2021/07/11,312
RI,2021/07/10,76
MA,2021/07/09,110
ME,2021/07/01,43
ME,2021/06/26,46
ME,2021/06/25,47
NM,2021/06/17,110
KY,2021/06/13,238
NV,2021/06/11,232
AK,2021/06/09,15
MA,2021/06/09,179
DE,2021/06/06,60
ID,2021/06/04,117
RI,2021/06/04,86
PR,2021/06/03,128
NV,2021/06/02,241
ID,2021/05/31,115
RI,2021/05/31,99
ME,2021/05/30,119
RI,2021/05/30,101
NM,2021/05/28,124
RI,2021/05/28,109
RI,2021/05/27,113
SD,2021/05/26,49
RI,2021/05/25,112
SD,2021/05/24,37
ID,2021/05/23,116
RI,2021/05/23,115
ID,2021/05/21,122
ND,2021/05/20,94
RI,2021/05/20,121
AK,2021/05/19,23
MT,2021/05/19,56
NC,2021/05/18,835
NV,2021/05/18,297
NE,2021/05/16,107
NH,2021/05/14,63
ND,2021/05/13,100
AZ,2021/05/12,591
NE,2021/05/11,145
RI,2021/05/11,140
NH,2021/05/09,84
KS,2021/05/07,186
HI,2021/05/06,69
ID,2021/05/05,136
ND,2021/05/05,115
AK,2021/05/04,55
ME,2021/05/03,149
NE,2021/05/02,148
NH,2021/04/30,89
WY,2021/04/30,30
ID,2021/04/29,136
IA,2021/04/27,200
SD,2021/04/24,99
NM,2021/04/23,129
LA,2021/04/22,315
AK,2021/04/21,47
WY,2021/04/20,23
NH,2021/04/19,124
UT,2021/04/19,146
ID,2021/04/18,148
IA,2021/04/17,224
MT,2021/04/17,59
HI,2021/04/15,53
CO,2021/04/14,548
HI,2021/04/14,55
AK,2021/04/13,47
NH,2021/04/13,129
WY,2021/04/11,20
AK,2021/04/09,42
WA,2021/04/09,683
HI,2021/04/08,57
ND,2021/04/08,93
NH,2021/04/07,114
MA,2021/04/06,688
AK,2021/04/05,45
NH,2021/04/05,101
AK,2021/04/03,40
NC,2021/04/03,956
AR,2021/04/02,186
ID,2021/04/02,140
MT,2021/04/02,45
AK,2021/04/01,45
ND,2021/04/01,80
AK,2021/03/31,36
MA,2021/03/30,622
NM,2021/03/30,116
MT,2021/03/29,52
NH,2021/02/16,130
DE,2020/10/17,170
WA,2021/03/17,412
NJ,2021/03/12,1979
AZ,2021/03/27,593
WI,2020/09/06,476
MA,2020/12/17,1850
MD,2020/12/09,2069
VT,2020/11/10,12
ND,2020/12/12,338
CO,2020/09/22,312
ID,2021/02/15,164
VA,2020/10/28,1065
RI,2021/01/31,355
TN,2020/10/19,1455
LA,2020/12/16,1445
OR,2021/03/04,205
FL,2021/02/25,4497
OR,2020/12/15,667
AR,2020/12/11,1204
KS,2021/03/09,245
CO,2020/09/21,271
AK,2021/02/03,42
NH,2020/11/11,105
NH,2020/09/21,33
AR,2020/10/07,680
MD,2021/02/07,1743
NH,2020/12/04,186
TX,2021/01/15,14758
PR,2020/09/04,405
AL,2020/02/21,
SC,2021/01/09,2283
OK,2021/02/27,670
MA,2020/10/17,428
CA,2021/02/28,5403
AL,2021/01/08,3346
AL,2021/02/10,1645
TN,2020/10/11,1296
HI,2020/10/02,162
AL,2021/03/13,578
VA,2020/11/10,1280
ID,2020/10/11,198
SD,2021/01/02,264
IN,2020/11/02,1875
OH,2021/01/04,4804
HI,2021/02/21,51
AZ,2020/12/16,4056
HI,2020/08/24,267
WY,2021/03/04,29
WA,2020/09/10,390
FL,2021/02/24,4706
IL,2021/02/17,1764
PR,2020/11/20,678
WI,2020/12/16,1619
MT,2020/10/06,224
FL,2021/01/13,8334
MD,2021/03/02,1120
VI,2020/11/09,1
NY,2020/09/09,1533
WY,2020/12/18,166
IL,2020/11/28,5998
NV,2021/03/17,358
HI,2020/10/25,83
AL,2021/01/14,3216
IN,2020/12/22,3136
FL,2020/09/13,3822
NM,2020/11/28,851
HI,2020/10/01,149
OK,2020/12/14,1735
MN,2020/11/17,1961
AR,2021/02/07,890
AK,2021/01/10,71
CT,2020/12/02,1364
CA,2021/03/09,4079
MI,2020/12/07,4132
MS,2021/03/01,485
WV,2020/11/12,442
HI,2020/10/21,93
NY,2021/03/22,5509
RI,2020/12/23,467
PA,2020/10/05,1052
NH,2020/09/18,28
ND,2021/02/05,117
NJ,2021/03/03,1955
WY,2020/12/28,128
MA,2021/03/26,689
NJ,2020/11/23,2889
OH,2020/11/29,5345
IL,2021/02/02,2526
DE,2021/02/22,187
HI,2021/03/06,36
KY,2020/09/16,554
MS,2020/09/14,953
OR,2020/08/25,192
SD,2021/03/07,75
AZ,2021/02/13,2240
IL,2021/02/13,1893
NV,2020/10/31,641
AK,2021/01/01,78
DC,2021/01/10,362
PA,2021/01/04,6490
ME,2020/09/25,32
VA,2021/01/25,2703
CO,2021/03/14,399
KY,2021/01/12,1764
IL,2020/12/08,5293
WY,2021/01/04,129
IN,2020/09/23,845
ID,2020/09/06,156
WA,2021/02/13,634
MS,2020/09/09,642
OH,2021/03/27,1419
TX,2021/02/13,8849
AL,2020/10/08,961
NC,2021/01/31,2911
SC,2020/12/28,1755
IN,2020/12/13,3077
WV,2021/02/17,399
GA,2021/03/01,1701
WI,2020/11/01,1814
MD,2020/12/26,2006
CA,2021/02/18,8239
OH,2020/12/22,5260
NM,2020/10/26,361
SC,2020/09/18,823
GA,2020/10/29,1886
WV,2020/11/26,585
IN,2020/08/29,807
NH,2020/11/06,76
AK,2020/12/07,157
NH,2021/02/26,99
KY,2020/12/01,1799
FL,2021/02/04,6250
DC,2020/10/23,161
VA,2020/11/04,1083
WA,2020/08/30,420
UT,2021/02/18,286
AK,2020/12/19,120
FL,2021/01/07,8012
KY,2020/08/26,604
KS,2020/12/18,1129
HI,2020/10/16,102
ND,2020/10/27,310
SD,2020/09/28,204
MD,2020/11/17,1461
TX,2021/01/19,14692
IA,2020/11/08,1077
TN,2020/08/30,1078
ME,2021/01/11,233
CO,2021/02/23,637
VI,2021/01/24,2
ME,2021/02/19,100
KS,2020/02/28,0
WV,2020/09/13,219
MO,2021/02/14,1291
IA,2020/11/25,1291
VT,2021/01/14,46
MI,2021/01/09,2386
SD,2021/03/20,62
GA,2020/12/26,4520
MI,2021/01/16,2115
FL,2021/02/27,4265
ME,2020/11/22,136
NM,2021/03/08,155
KY,2020/09/10,586
MS,2020/09/16,901
KS,2021/03/22,184
WA,2021/01/19,945
WY,2020/12/30,125
NY,2021/01/12,9931
KS,2020/09/30,388
WV,2020/10/07,233
WV,2020/09/14,216
TN,2020/08/24,1131
MD,2021/02/24,1250
AL,2020/12/06,2149
AZ,2020/08/23,1011
ID,2020/11/23,453
ID,2020/09/11,145
NE,2021/01/23,417
NC,2021/01/28,3171
IA,2020/10/30,667
MO,2020/09/17,1064
UT,2020/10/27,327
ME,2020/10/19,20
SD,2020/09/26,207
MS,2020/06/19,780
IL,2021/02/11,2055
CT,2020/10/10,270
AL,2021/02/02,1974
CO,2021/03/05,421
ND,2020/11/04,459
PA,2021/03/13,1905
IN,2020/09/24,866
DC,2020/12/18,320
KS,2020/11/30,1239
OK,2021/01/09,2054
HI,2020/08/27,263
VT,2021/03/12,25
VA,2021/02/02,2394
PA,2020/10/01,1076
CA,2020/10/22,3045
HI,2020/09/07,203
ND,2021/01/18,160
AR,2021/03/22,195
NM,2021/03/17,151
TX,2021/01/13,14829
HI,2021/03/09,28
MO,2021/03/24,846
ME,2020/08/30,28
IN,2020/11/04,1999
PA,2020/11/15,3426
MO,2020/12/17,2781
LA,2020/11/30,1213
SC,2020/09/12,749
AR,2020/10/23,678
IA,2021/02/10,282
VI,2020/11/02,1
UT,2021/01/24,542
IL,2020/10/19,2488
WV,2020/09/19,233
NJ,2021/02/21,2156
MA,2020/09/26,346
