timepoint_id,sample_id,timepoint_unknown,persistent_beta_param,persistent_gamma_param,persistent_S0_param,persistent_I0_param,persistent_R0_param,persistent_zeta_param,S_state,I_state,R_state,noninf_observable_state
96,22,96.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.005447392351925373,523.1167602539062,1477.8782958984375,1477.8837890625
97,22,97.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.005004040896892548,513.3260498046875,1487.66943359375,1487.6744384765625
98,22,98.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.00460408441722393,503.7187194824219,1497.277099609375,1497.28173828125
99,22,99.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.004242704715579748,494.2913818359375,1506.7054443359375,1506.709716796875
100,22,100.0,0.040954239666461945,0.018894217908382416,2000.0,1.0,0.0,999.0,0.003915674984455109,485.0397644042969,1515.9566650390625,1515.9605712890625
0,23,0.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,2000.0,1.0,0.0,2000.0
1,23,1.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,1999.7115478515625,1.2724443674087524,0.015975527465343475,1999.7275390625
2,23,2.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,1999.3446044921875,1.6190472841262817,0.0363030731678009,1999.380859375
3,23,3.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,1998.87744140625,2.059952735900879,0.0621669664978981,1998.9395751953125
4,23,4.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,1998.283935546875,2.6207516193389893,0.0950731635093689,1998.3790283203125
5,23,5.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,1997.5284423828125,3.333934783935547,0.13693591952323914,1997.6654052734375
6,23,6.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,1996.5693359375,4.240735054016113,0.19018785655498505,1996.759521484375
7,23,7.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,1995.3486328125,5.393431186676025,0.257919043302536,1995.6065673828125
8,23,8.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,1993.7978515625,6.858242511749268,0.34405308961868286,1994.141845703125
9,23,9.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,1991.827392578125,8.718934059143066,0.45356813073158264,1992.281005859375
10,23,10.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,1989.3260498046875,11.081296920776367,0.5927757024765015,1989.9188232421875
11,23,11.0,0.03188569098711014,0.014128124341368675,2000.0,1.0,0.0,999.0,1986.15185546875,14.078662872314453,0.7696691751480103,1986.9215087890625
